"agreement"
"analytical studies"
"article"
"assessment"
"blogpost"
"book"
"Brief"
"collection"
"constitution"
"dataset"
"Discussion paper"
"event"
"guidelines"
"image"
"indicator"
"interactive resource"
"issue brief"
"legislation"
"map"
"moving image"
"multimedia"
"paper"
"peer-reviewed publication"
"physical object"
"policy document"
"presentation"
"regulation"
"report"
"service"
"software"
"sound"
"still image"
"text"
